template,test_image,score
template_01,template_01,0.8937715291976929
template_02,template_01,0.2911837697029114
template_02,template_02,0.8467910289764404
template_03,template_01,0.18832962214946747
template_03,template_02,0.3314301669597626
template_03,template_03,0.7598392963409424
template_04,template_01,0.17064762115478516
template_04,template_02,0.23241455852985382
template_04,template_03,0.29351484775543213
template_04,template_04,0.8664597272872925
template_05,template_01,0.15422694385051727
template_05,template_02,0.17582330107688904
template_05,template_03,0.19247230887413025
template_05,template_04,0.4366612732410431
template_05,template_05,0.8096407055854797
template_06,template_01,0.16845211386680603
template_06,template_02,0.17259587347507477
template_06,template_03,0.16983824968338013
template_06,template_04,0.3441699743270874
template_06,template_05,0.34537485241889954
template_06,template_06,0.7866287231445312
template_07,template_01,0.16972139477729797
template_07,template_02,0.17126202583312988
template_07,template_03,0.1714189201593399
template_07,template_04,0.19690056145191193
template_07,template_05,0.18973061442375183
template_07,template_06,0.2584235370159149
template_07,template_07,0.8099939227104187
template_08,template_01,0.17475277185440063
template_08,template_02,0.1635449230670929
template_08,template_03,0.17453047633171082
template_08,template_04,0.23345986008644104
template_08,template_05,0.2716871500015259
template_08,template_06,0.2924637794494629
template_08,template_07,0.48196765780448914
template_08,template_08,0.885262668132782
template_09,template_01,0.1875319629907608
template_09,template_02,0.1645074188709259
template_09,template_03,0.18765513598918915
template_09,template_04,0.1681102216243744
template_09,template_05,0.19358333945274353
template_09,template_06,0.18708214163780212
template_09,template_07,0.42060840129852295
template_09,template_08,0.5093131065368652
template_09,template_09,0.8553254008293152
template_10,template_01,0.15584193170070648
template_10,template_02,0.13299407064914703
template_10,template_03,0.15882155299186707
template_10,template_04,0.13107383251190186
template_10,template_05,0.14394643902778625
template_10,template_06,0.13432207703590393
template_10,template_07,0.13455037772655487
template_10,template_08,0.1266968995332718
template_10,template_09,0.14271722733974457
template_10,template_10,0.7169880867004395
template_11,template_01,0.14499510824680328
template_11,template_02,0.14347726106643677
template_11,template_03,0.14499503374099731
template_11,template_04,0.14499512314796448
template_11,template_05,0.13732191920280457
template_11,template_06,0.1449952870607376
template_11,template_07,0.14499531686306
template_11,template_08,0.14499518275260925
template_11,template_09,0.14622794091701508
template_11,template_10,0.20358049869537354
template_11,template_11,0.6933528780937195
template_12,template_01,0.13923482596874237
template_12,template_02,0.144195556640625
template_12,template_03,0.13923482596874237
template_12,template_04,0.13923482596874237
template_12,template_05,0.13092592358589172
template_12,template_06,0.1414966881275177
template_12,template_07,0.13923507928848267
template_12,template_08,0.13702496886253357
template_12,template_09,0.12510895729064941
template_12,template_10,0.16378164291381836
template_12,template_11,0.28767281770706177
template_12,template_12,0.7685184478759766
template_13,template_01,0.1908831149339676
template_13,template_02,0.1446991264820099
template_13,template_03,0.19330079853534698
