template,test_image,score
template_00,template_00,0.6216086149215698
template_01,template_00,0.36616653203964233
template_01,template_01,0.8870527744293213
template_02,template_00,0.27347028255462646
template_02,template_01,0.5544423460960388
template_02,template_02,0.8888784050941467
template_03,template_00,0.22273749113082886
template_03,template_01,0.2723562717437744
template_03,template_02,0.38724011182785034
template_03,template_03,0.8478097319602966
template_04,template_00,0.2266894429922104
template_04,template_01,0.23298940062522888
template_04,template_02,0.2728811800479889
template_04,template_03,0.5798890590667725
template_04,template_04,0.8787651658058167
template_05,template_00,0.2065107822418213
template_05,template_01,0.2054244428873062
template_05,template_02,0.22484314441680908
template_05,template_03,0.4726172983646393
template_05,template_04,0.631833553314209
template_05,template_05,0.8805009722709656
template_06,template_00,0.20544250309467316
template_06,template_01,0.21245434880256653
template_06,template_02,0.2423432171344757
template_06,template_03,0.4670608639717102
template_06,template_04,0.5536128282546997
template_06,template_05,0.6265890002250671
template_06,template_06,0.9247965216636658
template_07,template_00,0.18284320831298828
template_07,template_01,0.2367803305387497
template_07,template_02,0.2017928957939148
template_07,template_03,0.3750668466091156
template_07,template_04,0.3761752247810364
template_07,template_05,0.45405036211013794
template_07,template_06,0.6787249445915222
template_07,template_07,0.9264515042304993
template_08,template_00,0.17020533978939056
template_08,template_01,0.20516975224018097
template_08,template_02,0.1863890141248703
template_08,template_03,0.251259446144104
template_08,template_04,0.2675240933895111
template_08,template_05,0.3364534378051758
template_08,template_06,0.5236537456512451
template_08,template_07,0.6313444375991821
template_08,template_08,0.9019752144813538
template_09,template_00,0.20983296632766724
template_09,template_01,0.25402069091796875
template_09,template_02,0.25402069091796875
template_09,template_03,0.2278098464012146
template_09,template_04,0.22719238698482513
template_09,template_05,0.2371344268321991
template_09,template_06,0.24391932785511017
template_09,template_07,0.24391931295394897
template_09,template_08,0.19672450423240662
template_09,template_09,0.8869437575340271
template_10,template_00,0.20569495856761932
template_10,template_01,0.23329681158065796
template_10,template_02,0.23329681158065796
template_10,template_03,0.21460801362991333
template_10,template_04,0.21471190452575684
template_10,template_05,0.22381336987018585
template_10,template_06,0.23050469160079956
template_10,template_07,0.23050469160079956
template_10,template_08,0.20569489896297455
template_10,template_09,0.5451338291168213
template_10,template_10,0.8843927979469299
template_11,template_00,0.182660773396492
template_11,template_01,0.20499233901500702
template_11,template_02,0.2049923837184906
template_11,template_03,0.1823541522026062
template_11,template_04,0.17965242266654968
template_11,template_05,0.1880069524049759
template_11,template_06,0.1955740600824356
template_11,template_07,0.1955740749835968
template_11,template_08,0.16782602667808533
template_11,template_09,0.4798172414302826
