epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.64097,1.62583,3.1856,0.94478,0.33408,0.68651,0.52988,0.34916,1.14045,3.33356,0.85816,0.00019278,0.00019278,0.00019278
2,17.2055,1.32404,1.36799,0.86681,0.70893,0.70906,0.73659,0.46552,1.2602,1.52376,0.86441,0.000390108,0.000390108,0.000390108
3,25.9395,1.31449,1.21968,0.88601,0.58718,0.6721,0.73454,0.48807,1.09341,1.15059,0.85153,0.000584797,0.000584797,0.000584797
4,34.6992,1.32711,1.17896,0.87632,0.54262,0.62586,0.64653,0.40919,1.23315,4.96809,0.8611,0.000699863,0.000699863,0.000699863
5,43.3751,1.27667,1.06238,0.86604,0.55734,0.5671,0.54638,0.3716,1.26196,20.7497,0.84958,0.00069515,0.00069515,0.00069515
6,51.9677,1.27624,0.95216,0.84989,0.74923,0.68853,0.8043,0.49439,1.17433,0.91964,0.84431,0.000690438,0.000690438,0.000690438
7,60.7523,1.26332,0.8855,0.85419,0.79244,0.67497,0.8213,0.54177,1.05852,0.84065,0.83244,0.000685726,0.000685726,0.000685726
8,69.4964,1.17496,0.81327,0.84098,0.77818,0.79562,0.85524,0.56449,1.07928,0.77935,0.83759,0.000681013,0.000681013,0.000681013
9,78.3308,1.27659,0.81632,0.857,0.73854,0.8165,0.86518,0.53149,1.2339,0.8104,0.86262,0.000676301,0.000676301,0.000676301
10,86.9097,1.2359,0.7813,0.84658,0.75957,0.77926,0.84391,0.53831,1.15015,0.78807,0.84745,0.000671588,0.000671588,0.000671588
11,95.644,1.19624,0.72094,0.85265,0.78988,0.87243,0.89863,0.59379,1.07822,0.66307,0.84338,0.000666876,0.000666876,0.000666876
12,104.444,1.11689,0.66941,0.83444,0.84696,0.80431,0.87502,0.58304,1.05602,0.6528,0.838,0.000662164,0.000662164,0.000662164
13,113.093,1.08139,0.64185,0.84019,0.84948,0.83048,0.89864,0.59877,1.06882,0.65627,0.83347,0.000657451,0.000657451,0.000657451
14,121.821,1.13056,0.67722,0.84152,0.89671,0.85781,0.93019,0.63743,1.01306,0.60444,0.82763,0.000652739,0.000652739,0.000652739
15,130.561,1.10384,0.66829,0.83991,0.90619,0.82494,0.90949,0.63438,0.94984,0.61424,0.82143,0.000648026,0.000648026,0.000648026
16,139.205,1.07419,0.63227,0.83648,0.84468,0.86024,0.89742,0.62749,0.99867,0.60393,0.82461,0.000643314,0.000643314,0.000643314
17,147.883,1.1163,0.63462,0.83448,0.87778,0.86514,0.90667,0.60626,1.02534,0.64298,0.81983,0.000638602,0.000638602,0.000638602
18,156.526,1.11302,0.63668,0.83232,0.89752,0.90706,0.94083,0.65745,0.93098,0.55682,0.81782,0.000633889,0.000633889,0.000633889
19,165.318,1.09072,0.59415,0.82599,0.92219,0.89859,0.94339,0.64771,0.96235,0.56877,0.82224,0.000629177,0.000629177,0.000629177
20,173.971,1.09273,0.59958,0.82561,0.90215,0.86298,0.93106,0.64218,0.99276,0.58264,0.82592,0.000624464,0.000624464,0.000624464
21,182.637,1.0791,0.56825,0.83703,0.92887,0.87432,0.94703,0.63907,1.08352,0.57227,0.83745,0.000619752,0.000619752,0.000619752
22,191.316,1.13197,0.59379,0.82877,0.89727,0.90009,0.94419,0.66451,0.91613,0.55629,0.81958,0.00061504,0.00061504,0.00061504
23,200.044,0.99377,0.54244,0.82,0.9481,0.87947,0.94809,0.67313,0.92016,0.56129,0.81751,0.000610327,0.000610327,0.000610327
24,208.81,1.02912,0.55349,0.82568,0.93591,0.89478,0.94733,0.66368,0.9573,0.55339,0.82001,0.000605615,0.000605615,0.000605615
25,217.472,1.02785,0.55782,0.82214,0.94156,0.87178,0.95569,0.66143,0.95855,0.53934,0.82105,0.000600902,0.000600902,0.000600902
26,226.143,1.0131,0.5369,0.82895,0.94124,0.89735,0.95456,0.68665,0.89764,0.5242,0.81598,0.00059619,0.00059619,0.00059619
27,234.94,0.98864,0.52543,0.8239,0.93845,0.9039,0.94962,0.68061,0.89405,0.53279,0.81573,0.000591478,0.000591478,0.000591478
28,243.594,1.01955,0.55529,0.82438,0.94568,0.9174,0.95992,0.68781,0.89584,0.51198,0.81414,0.000586765,0.000586765,0.000586765
29,252.388,0.99643,0.54758,0.81515,0.94635,0.89588,0.9477,0.68161,0.88284,0.52616,0.81327,0.000582053,0.000582053,0.000582053
